input,output
architecture description variant 44,"Lofty is built with a FastAPI API layer, an assistant core using LangGraph and LangChain, Ollama local LLM integration, tool execution for safe host actions, JSON memory persistence, and static HTML/CSS/JS UI delivery."
backend framework description variant 44,"Lofty uses FastAPI to serve endpoints, handle chat requests, manage voice and memory APIs, and deliver frontend static files."
memory management description variant 44,"Lofty stores session messages and user preferences in a JSON-backed memory file, with helper classes for saving, loading, and retrieving session state and preferences."
model integration description variant 44,"Lofty integrates with Ollama for local model inference, calling the Ollama API endpoint to generate responses and support model selection via environment variables."
langgraph usage description variant 44,"LangGraph is used for orchestrating tool-aware assistant behavior, defining state graphs, routing between model responses and tool execution, and supporting multi-step workflow execution."
tool calls description variant 44,"Lofty can call tools such as open_url, open_app, list_files, read_file, write_file, remember_preference, recall_preference, show_memory, and shell_command in a workspace-safe way."
ui style description variant 44,"Lofty uses a terminal-inspired browser UI with cinematic styling, card-based layout, theme support, voice controls, and a minimal command-driven presentation."
voice support description variant 44,"Lofty supports optional speech-to-text with faster-whisper and optional text-to-speech with pyttsx3, enabling voice input and spoken replies when configured."
workspace safety description variant 44,"Lofty enforces workspace-safe file paths, confirms risky actions, restricts tool actions to approved workspace directories, and uses safe path sanitization helpers."
lofty backend description variant 44,"lofty_backend.py is a Python backend module that implements the primary FastAPI assistant server, memory store, Ollama chat integration, shortcut commands, tool detection, and optional voice and TTS handling."
enhanced backend description variant 44,"lofty_backend_enhanced.py is an enhanced version of the FastAPI backend that includes browser auto-open support, richer LangGraph/LangChain tool orchestration, shell command tools, and more advanced assistant state handling."
